timestamp,instrument,direction,size,entry,current,pnl,stop_loss,take_profit,pct_to_tp,action
2026-03-12_1410,NZDUSD,SELL,-2000.0,0.59069,0.58762,5.13,0,0,0.0,ratchet_trail
2026-03-12_1415,NZDUSD,SELL,-2000.0,0.59069,0.5879,4.57,0,0,0.0,ratchet_trail
2026-03-12_1420,NZDUSD,SELL,-2000.0,0.59069,0.58727,5.83,0,0,0.0,ratchet_trail
2026-03-12_1425,NZDUSD,SELL,-2000.0,0.59069,0.587415,5.539999999999999,0,0,0.0,ratchet_trail
2026-03-12_1830,NZDUSD,SELL,-4000.0,0.59069,0.58551,10.56,0,0,0.0,ratchet_trail
2026-03-12_1910,NZDUSD,SELL,-5000.0,0.59069,0.58562,9.879999999999999,0,0,0.0,ratchet_trail
2026-03-12_1945,NZDUSD,SELL,-5000.0,0.59069,0.585635,9.799999999999999,0,0,0.0,ratchet_trail
2026-03-12_1950,NZDUSD,SELL,-3000.0,0.58673,0.58551,1.08,0,0,0.0,ratchet_trail
2026-03-12_2000,NZDUSD,SELL,-1000.0,0.5855,0.58547,0.03,0,0,0.0,ratchet_trail
2026-03-12_2005,NZDUSD,SELL,-1000.0,0.5855,0.58555,-0.05,0,0,0.0,ratchet_trail
2026-03-12_2010,NZDUSD,SELL,-1000.0,0.5855,0.58542,0.08,0,0,0.0,ratchet_trail
2026-03-12_2015,NZDUSD,SELL,-1000.0,0.5855,0.585345,0.16,0,0,0.0,ratchet_trail
2026-03-12_2042,NZDUSD,SELL,-1000.0,0.5855,0.585255,0.25,0,0,0.0,ratchet_trail
2026-03-12_2045,NZDUSD,SELL,-1000.0,0.5855,0.585315,0.18,0,0,0.0,ratchet_trail
2026-03-12_2050,NZDUSD,SELL,-1000.0,0.5855,0.585475,0.03,0,0,0.0,ratchet_trail
2026-03-12_2055,NZDUSD,SELL,-1000.0,0.5855,0.585395,0.11,0,0,0.0,ratchet_trail
2026-03-12_2100,NZDUSD,SELL,-1000.0,0.5855,0.585345,0.16,0,0,0.0,ratchet_trail
2026-03-12_2105,NZDUSD,SELL,-1000.0,0.5855,0.58562,-0.12,0,0,0.0,ratchet_trail
2026-03-12_2110,NZDUSD,SELL,-1000.0,0.5855,0.585285,0.21,0,0,0.0,ratchet_trail
2026-03-12_2115,NZDUSD,SELL,-1000.0,0.5855,0.585275,0.23,0,0,0.0,ratchet_trail
2026-03-12_2120,NZDUSD,SELL,-1000.0,0.5855,0.585175,0.33,0,0,0.0,ratchet_trail
